y,time,x,lon,lat,pv
48.0,2005-01-01 00:00:00,1.0,1.0,48.0,0.0
48.0,2005-01-01 00:00:00,1.25,1.25,48.0,0.0
48.0,2005-01-01 00:00:00,1.5,1.5,48.0,0.0
48.0,2005-01-01 00:00:00,1.75,1.75,48.0,0.0
48.0,2005-01-01 00:00:00,2.0,2.0,48.0,0.0
48.0,2005-01-01 01:00:00,1.0,1.0,48.0,0.0
48.0,2005-01-01 01:00:00,1.25,1.25,48.0,0.0
48.0,2005-01-01 01:00:00,1.5,1.5,48.0,0.0
48.0,2005-01-01 01:00:00,1.75,1.75,48.0,0.0
48.0,2005-01-01 01:00:00,2.0,2.0,48.0,0.0
48.0,2005-01-01 02:00:00,1.0,1.0,48.0,0.0
48.0,2005-01-01 02:00:00,1.25,1.25,48.0,0.0
48.0,2005-01-01 02:00:00,1.5,1.5,48.0,0.0
48.0,2005-01-01 02:00:00,1.75,1.75,48.0,0.0
48.0,2005-01-01 02:00:00,2.0,2.0,48.0,0.0
48.0,2005-01-01 03:00:00,1.0,1.0,48.0,0.0
48.0,2005-01-01 03:00:00,1.25,1.25,48.0,0.0
48.0,2005-01-01 03:00:00,1.5,1.5,48.0,0.0
48.0,2005-01-01 03:00:00,1.75,1.75,48.0,0.0
48.0,2005-01-01 03:00:00,2.0,2.0,48.0,0.0
48.0,2005-01-01 04:00:00,1.0,1.0,48.0,0.0
48.0,2005-01-01 04:00:00,1.25,1.25,48.0,0.0
48.0,2005-01-01 04:00:00,1.5,1.5,48.0,0.0
48.0,2005-01-01 04:00:00,1.75,1.75,48.0,0.0
48.0,2005-01-01 04:00:00,2.0,2.0,48.0,0.0
48.0,2005-01-01 05:00:00,1.0,1.0,48.0,0.0
48.0,2005-01-01 05:00:00,1.25,1.25,48.0,0.0
48.0,2005-01-01 05:00:00,1.5,1.5,48.0,0.0
48.0,2005-01-01 05:00:00,1.75,1.75,48.0,0.0
48.0,2005-01-01 05:00:00,2.0,2.0,48.0,0.0
48.0,2005-01-01 06:00:00,1.0,1.0,48.0,0.0
48.0,2005-01-01 06:00:00,1.25,1.25,48.0,0.0
48.0,2005-01-01 06:00:00,1.5,1.5,48.0,0.0
48.0,2005-01-01 06:00:00,1.75,1.75,48.0,0.0
48.0,2005-01-01 06:00:00,2.0,2.0,48.0,0.0
48.0,2005-01-01 07:00:00,1.0,1.0,48.0,0.0
48.0,2005-01-01 07:00:00,1.25,1.25,48.0,0.0
48.0,2005-01-01 07:00:00,1.5,1.5,48.0,0.0
48.0,2005-01-01 07:00:00,1.75,1.75,48.0,0.0
48.0,2005-01-01 07:00:00,2.0,2.0,48.0,0.0
48.0,2005-01-01 08:00:00,1.0,1.0,48.0,0.0
48.0,2005-01-01 08:00:00,1.25,1.25,48.0,0.0
48.0,2005-01-01 08:00:00,1.5,1.5,48.0,0.0
48.0,2005-01-01 08:00:00,1.75,1.75,48.0,0.0
48.0,2005-01-01 08:00:00,2.0,2.0,48.0,0.0
48.0,2005-01-01 09:00:00,1.0,1.0,48.0,0.0047191251564444375
48.0,2005-01-01 09:00:00,1.25,1.25,48.0,0.005250042105002615
48.0,2005-01-01 09:00:00,1.5,1.5,48.0,0.005612049189153552
48.0,2005-01-01 09:00:00,1.75,1.75,48.0,0.005777088181172522
48.0,2005-01-01 09:00:00,2.0,2.0,48.0,0.005834530629515178
48.0,2005-01-01 10:00:00,1.0,1.0,48.0,0.016400036164175513
48.0,2005-01-01 10:00:00,1.25,1.25,48.0,0.015032048090009766
48.0,2005-01-01 10:00:00,1.5,1.5,48.0,0.01692572997855853
48.0,2005-01-01 10:00:00,1.75,1.75,48.0,0.01861402068004518
48.0,2005-01-01 10:00:00,2.0,2.0,48.0,0.02013058377044064
48.0,2005-01-01 11:00:00,1.0,1.0,48.0,0.02456159172847312
48.0,2005-01-01 11:00:00,1.25,1.25,48.0,0.022725600755076358
48.0,2005-01-01 11:00:00,1.5,1.5,48.0,0.029331189604931144
48.0,2005-01-01 11:00:00,1.75,1.75,48.0,0.03339947324506278
48.0,2005-01-01 11:00:00,2.0,2.0,48.0,0.039936645284235545
48.0,2005-01-01 12:00:00,1.0,1.0,48.0,0.0910698910575348
48.0,2005-01-01 12:00:00,1.25,1.25,48.0,0.08459130498668758
48.0,2005-01-01 12:00:00,1.5,1.5,48.0,0.06593660987047
48.0,2005-01-01 12:00:00,1.75,1.75,48.0,0.04377303042392668
48.0,2005-01-01 12:00:00,2.0,2.0,48.0,0.029355707431035626
48.0,2005-01-01 13:00:00,1.0,1.0,48.0,0.06261744568714303
48.0,2005-01-01 13:00:00,1.25,1.25,48.0,0.06384026848184587
48.0,2005-01-01 13:00:00,1.5,1.5,48.0,0.059735011185441035
48.0,2005-01-01 13:00:00,1.75,1.75,48.0,0.05088570222580864
48.0,2005-01-01 13:00:00,2.0,2.0,48.0,0.04661666744131743
48.0,2005-01-01 14:00:00,1.0,1.0,48.0,0.04232219470395031
48.0,2005-01-01 14:00:00,1.25,1.25,48.0,0.051929058498283547
48.0,2005-01-01 14:00:00,1.5,1.5,48.0,0.06552100790221929
48.0,2005-01-01 14:00:00,1.75,1.75,48.0,0.07754294795888445
48.0,2005-01-01 14:00:00,2.0,2.0,48.0,0.08335587180773495
48.0,2005-01-01 15:00:00,1.0,1.0,48.0,0.018759494119211944
48.0,2005-01-01 15:00:00,1.25,1.25,48.0,0.0178257236894407
48.0,2005-01-01 15:00:00,1.5,1.5,48.0,0.017823638296975967
48.0,2005-01-01 15:00:00,1.75,1.75,48.0,0.02132696070297873
48.0,2005-01-01 15:00:00,2.0,2.0,48.0,0.02233511146656332
48.0,2005-01-01 16:00:00,1.0,1.0,48.0,0.008759975764912812
48.0,2005-01-01 16:00:00,1.25,1.25,48.0,0.0
48.0,2005-01-01 16:00:00,1.5,1.5,48.0,0.0
48.0,2005-01-01 16:00:00,1.75,1.75,48.0,0.0
48.0,2005-01-01 16:00:00,2.0,2.0,48.0,0.0
48.0,2005-01-01 17:00:00,1.0,1.0,48.0,0.0
48.0,2005-01-01 17:00:00,1.25,1.25,48.0,0.0
48.0,2005-01-01 17:00:00,1.5,1.5,48.0,0.0
48.0,2005-01-01 17:00:00,1.75,1.75,48.0,0.0
48.0,2005-01-01 17:00:00,2.0,2.0,48.0,0.0
48.0,2005-01-01 18:00:00,1.0,1.0,48.0,0.0
48.0,2005-01-01 18:00:00,1.25,1.25,48.0,0.0
48.0,2005-01-01 18:00:00,1.5,1.5,48.0,0.0
48.0,2005-01-01 18:00:00,1.75,1.75,48.0,0.0
48.0,2005-01-01 18:00:00,2.0,2.0,48.0,0.0
48.0,2005-01-01 19:00:00,1.0,1.0,48.0,0.0
48.0,2005-01-01 19:00:00,1.25,1.25,48.0,0.0
48.0,2005-01-01 19:00:00,1.5,1.5,48.0,0.0
48.0,2005-01-01 19:00:00,1.75,1.75,48.0,0.0
48.0,2005-01-01 19:00:00,2.0,2.0,48.0,0.0
48.0,2005-01-01 20:00:00,1.0,1.0,48.0,0.0
